id,name,partner_id,brand_id,description_sale,description_purchase,product_main_code,active,product_sub_code,partner_barcode,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,uom_so_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
product_N-NV-8307-1,สมุดปกอ่อนไสกาว 70g 8/30 แผ่น เคลือบยูวี+อัดลาย,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-NV-8307,TRUE,,8857121670054,TRUE,FALSE,Stockable Product,Make to Stock,Buy,7.6,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,เล่ม,18.5*26,70,30,,1*1,,Real Time (automated),,,
product_N-NV-9407,สมุดปกอ่อนสันกาวตัด9 70แกรม 9/40แผ่น NV-9407,,,,,N-NV-9407,TRUE,,8851419007324,TRUE,FALSE,Stockable Product,Make to Stock,Buy,8.75,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,โหล,16.5*24,,,,1*12,,Real Time (automated),,,
product_N-NV-9407-1,สมุดปกอ่อนสันกาว 70g 9/40 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-NV-9407,TRUE,,8857121670047,TRUE,FALSE,Stockable Product,Make to Stock,Buy,6.45,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,เล่ม,16.5*24,70,40,,1*1,,Real Time (automated),,,
product_N-PBF-8407,สมุดปกอ่อนไสกาว 70แกรม 8/40แผ่น เคลือบโฮโลแกรม PBF-8407,,,,,N-PBF-8407,TRUE,,8851419008390,TRUE,FALSE,Stockable Product,Make to Stock,Buy,12.9166666667,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,โหล,18.5*26,,,,,,Real Time (automated),,,
product_N-PBF-8407-1,สมุดปกอ่อนไสกาว 70g 8/40 แผ่น เคลือบโฮโลแกรม,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PBF-8407,TRUE,,8857121670078,TRUE,FALSE,Stockable Product,Make to Stock,Buy,9.35,Standard Price,0,0,สมุดปกแฟนซีสันกาว,เล่ม,เล่ม,เล่ม,18.5*26,70,40,,1*1,,Real Time (automated),,,
product_N-PPN-16607,สมุดปกพีพีริมห่วง 70แกรม 16/60แผ่น PPN-16607,,,,,N-PPN-16607,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,15.8333333333,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,13*18.5,,,,1*12,,Real Time (automated),,,
product_N-PPN-16607-1,สมุดปกพีพีริมห่วง 70g 16/60 ลายการ์ตูน,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPN-16607,TRUE,,8857121670108,TRUE,FALSE,Stockable Product,Make to Stock,Buy,11.5,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,13*18.5,70,60,,1*1,,Real Time (automated),,,
product_N-PPT-32307,สมุดปกพีพีเย็บลวด 70แกรม 32/30แผ่น PPT-32307,,,,,N-PPT-32307,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,3.0833333333,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,8.5*12.5,,,,1*12,,Real Time (automated),,,
product_N-PPT-32307-1,สมุดปกพีพีเย็บลวด ตัด 32/30 แผ่นรวมปก70g PPT-32307,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPT-32307,TRUE,,8859070300129,TRUE,FALSE,Stockable Product,Make to Stock,Buy,2.65,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,,70,30,,1*1,,Real Time (automated),,,
product_N-PPT-8307,สมุดปกพีพีเย็บลวด 70แกรม 8/30แผ่น PPT-8307,,,,,N-PPT-8307,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,9.1666666667,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,18.5*26,,,,1*12,,Real Time (automated),,,
product_N-PPT-8307-1,สมุดปกพีพีอ่อนเย็บลวด 70g 8/30 PPT-8307,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPT-8307,TRUE,,8857121670092,TRUE,FALSE,Stockable Product,Make to Stock,Buy,7.15,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,18.5*26,70,30,,1*1,,Real Time (automated),,,
product_N-PPW-8607,สมุดปกพีพีขาวทึบริมห่วง 70แกรม 8/60แผ่น PPW-8607,,,,,N-PPW-8607,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,23.3333333333,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,18.5*25.5,,,,1*12,,Real Time (automated),,,
product_N-PPW-8607-1,สมุดปกพีพีขาวทึบริมห่วง 70g 8/60,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPW-8607,TRUE,,8857121670283,TRUE,FALSE,Stockable Product,Make to Stock,Buy,19,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,18.5*25.5,70,60,,1*1,,Real Time (automated),,,
product_N-PPW-A51007,สมุดปกพีพีริมห่วง 70แกรม A5/100แผ่น PPW-A51007,,,,,N-PPW-A51007,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,27.9166666667,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,14.85*21,,,,1*6,,Real Time (automated),,,
product_N-PPW-A51007-1,สมุดริมห่วงปกพีพี 70g PPW-A51007,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPW-A51007,TRUE,,8857121670122,TRUE,FALSE,Stockable Product,Make to Stock,Buy,20.35,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,14.85*21,70,100,,1*1,,Real Time (automated),,,
product_N-PPW-A6407,สมุดปกพีพีขาวทึบสันห่วง 70แกรม A6/40แผ่น PPW-A6407,,,,,N-PPW-A6407,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,10.8333333333,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,10.5*14.8,,,,1*12,,Real Time (automated),,,
product_N-PPW-A6407-1,สมุดปกพีพีขาวทึบ สันห่วง 70g A6/40,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPW-A6407,TRUE,,8857121670269,TRUE,FALSE,Stockable Product,Make to Stock,Buy,8.35,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,10.5*14.8,70,40,,1*1,,Real Time (automated),,,
product_N-PPW-A7607,สมุดปกพีพีขาวทึบสันห่วง 70แกรม A7/60แผ่น PPW-A7607,,,,,N-PPW-A7607,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,9.1666666667,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,โหล,7.4*10.5,,,,1*12,,Real Time (automated),,,
product_N-PPW-A7607-1,สมุดปกพีพีขาวทึบ สันห่วง 70g A7/60,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PPW-A7607,TRUE,,8857121670276,TRUE,FALSE,Stockable Product,Make to Stock,Buy,6.75,Standard Price,0,0,สมุดปกพีพี,เล่ม,เล่ม,เล่ม,7.4*10.5,70,60,,1*1,,Real Time (automated),,,
product_N-PV-A4506,สมุดฉีกรายงาน 60แกรม A4 50แผ่น PV-A4506,,,,,N-PV-A4506,TRUE,,8851419007348,TRUE,FALSE,Stockable Product,Make to Stock,Buy,14.4166666667,Standard Price,0,0,สมุดฉีกรายงาน,เล่ม,เล่ม,โหล,21*29.7,,,,1*12,,Real Time (automated),,,
product_N-PV-A4506-1,สมุดฉีกรายงาน A4 60g 50 แผ่น,บริษัท แอทลักซ์แอนด์โค จำกัด,,,,N-PV-A4506,TRUE,,8857121670177,TRUE,FALSE,Stockable Product,Make to Stock,Buy,10.75,Standard Price,0,0,สมุดฉีกรายงาน,เล่ม,เล่ม,เล่ม,21*29.7,60,50,,1*1,,Real Time (automated),,,
