id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,xxxx,inventory_line_id/product_qty,inventory_line_id/product_uom
,,สาทร ชั้น 2,product_N-MIS-CTB1120,สมุดตารางจีนใหญ่ 11/20แผ่น,7092,เล่ม
,,สาทร ชั้น 2,product_N-MIS-PEON18100,สมุดบัญชีพีออนบุ๊ค 18/100แผ่น,2568,เล่ม
,,สาทร ชั้น 2,product_N-MIS-DW1830,สมุดริมห่วงวีนัส 18/30แผ่น,6792,เล่ม
,,สาทร ชั้น 2,product_N-MIS-PEON1850,สมุดบัญชีพีออนบุ๊ค 18/50แผ่น,2232,เล่ม
,,สาทร ชั้น 2,__export__.product_product_6942,สมุดปกอ่อนลายสก็อต Big One 55g 9/80แผ่น,2100,เล่ม
,,สาทร ชั้น 2,product_N-MIS-TAA440,สมุดบัญชีฉีกรายวัน 55แกรม A4/40แผ่น,210,เล่ม
,,สาทร ชั้น 2,product_N-MIS-TANO1,สมุดบัญชีฉีกรายวัน 55แกรม No.1,1140,เล่ม
,,สาทร ชั้น 2,product_N-MIS-TANO2,สมุดบัญชีฉีกแยกประเภท 55แกรม No.2,1900,เล่ม
,,สาทร ชั้น 2,product_N-MIS-MV810100,สมุดโน๊ตดนตรี 8/10แผ่น MV 810100-1,3564,เล่ม
,,สาทร ชั้น 2,product_N-MIS-GB01,สมุดกราฟตาราง 9/20แผ่น 4สีเคลือบUV GB-01,612,เล่ม
,,สาทร ชั้น 2,product_N-MIS-CTB02,สมุดตารางจีนใหญ่ 9/30แผ่น 4สีเคลือบUV CTB-02,840,เล่ม
,,สาทร ชั้น 2,product_N-MIS-CTM01,สมุดตารางจีนกลาง 9/30แผ่น 4สีเคลือบUV CTM-01,6660,เล่ม
,,สาทร ชั้น 2,product_N-MIS-NO940,สมุดปกอ่อนวีนัส No.940,2280,เล่ม
,,สาทร ชั้น 2,product_124950,Q-BIZ สมุดปกการ์ดอาร์ต 9/50 แผ่น,5472,เล่ม
,,สาทร ชั้น 2,product_N-MIS-UNI980,สมุดปกอ่อน Universal 9/80แผ่น,708,เล่ม
,,สาทร ชั้น 2,product_482482,MKR สมุดปกแข็งมุมผ้า 55แกรม 5/100แผ่น,756,เล่ม
,,สาทร ชั้น 2,product_N-HVT-100G4100,สมุดปกแข็งมุมมัน 100แกรม 4/100แผ่น,738,เล่ม
,,สาทร ชั้น 2,product_N-HVT-100G4150,สมุดปกแข็งมุมมัน 100แกรม 4/150แผ่น,400,เล่ม
,,สาทร ชั้น 2,product_N-HVT-100G4200,สมุดปกแข็งมุมมัน 100แกรม 4/200แผ่น,18,เล่ม
,,สาทร ชั้น 2,product_N-HVT-100G5100,สมุดปกแข็งมุมมัน 100แกรม 5/100แผ่น,216,เล่ม
,,สาทร ชั้น 2,product_N-HVT-100G550,สมุดปกแข็งมุมมัน 100แกรม 5/50แผ่น,1038,เล่ม
,,สาทร ชั้น 2,product_N-HVT-100G8100,สมุดปกแข็งมุมมัน 100แกรม 8/100แผ่น,1014,เล่ม
,,สาทร ชั้น 2,product_N-HVT-70G5150,สมุดปกแข็งมุมมัน 70แกรม 5/150แผ่น,126,เล่ม
,,สาทร ชั้น 2,product_N-HVT-70G8100,สมุดปกแข็งมุมมัน 70แกรม 8/100แผ่น,2532,เล่ม
,,สาทร ชั้น 2,product_N-HVT-80G4100,สมุดปกแข็งมุมมัน 80แกรม 4/100แผ่น,156,เล่ม
,,สาทร ชั้น 2,product_140001,Q-BIZ สมุดปกแข็งมุมมัน 80g 4/100,648,เล่ม
,,สาทร ชั้น 2,product_N-HVT-80G4150,สมุดปกแข็งมุมมัน 80แกรม 4/150แผ่น,426,เล่ม
,,สาทร ชั้น 2,product_N-HVT-80G4200,สมุดปกแข็งมุมมัน 80แกรม 4/200แผ่น,99,เล่ม
,,สาทร ชั้น 2,product_N-HV-201006,สมุดบัญชีปกแข็ง 60แกรม 12/100แผ่น HV-121006,384,เล่ม
