id,uom_so_id
product_N-F920,กุรุส
product_N-F940,กุรุส
product_N-F950,โหล
product_N-F960,โหล
product_N-F980,โหล
product_N-F9100,โหล
product_N-EF5,กุรุส
product_N-EF5_notuse,กุรุส
product_N-EF10,โหล
product_N-EF20,โหล
product_N-AF5,กุรุส
product_N-AF5_notuse,กุรุส
product_N-AF10,โหล
product_N-F8306,โหล
product_N-F8307,โหล
product_N-FA6306,กุรุส
product_N-FA7306,กุรุส
product_N-AF10PB,โหล
product_N-NV-9407,โหล
product_N-NV-8307,โหล
product_N-PBF-8407,โหล
product_N-GNB-B5406,โหล
product_N-GNB-B5307,โหล
product_N-GNB-B5407,โหล
product_N-NV-M-8607,โหล
product_N-NV-M-A5407,โหล
product_N-NV2506C,โหล
product_N-NV2506CC,โหล
product_N-DWF8407,โหล
product_N-D-810VE,กุรุส
product_N-D-410VE,กุรุส
product_N-D810,กุรุส
product_N-D410,กุรุส
product_N-DV-410150,กุรุส
product_N-D-614,โหล
product_N-D-640,โหล
product_N-PN-S940,เล่ม
product_N-PN-S980,เล่ม
product_N-PN-H940,เล่ม
product_N-PN-H980,เล่ม
product_N-PN-G940,เล่ม
product_N-PN-G980,เล่ม
product_N-PN-5L940,เล่ม
product_N-PN-5L980,เล่ม
product_N-PN-HW930,กุรุส
product_N-SPT-S940,เล่ม
product_N-SPT-S980,เล่ม
product_N-SPT-H940,เล่ม
product_N-SPT-H980,เล่ม
product_N-SPT-G940,เล่ม
product_N-SPT-G980,เล่ม
product_N-SPT-5L940,เล่ม
product_N-SPT-5L980,เล่ม
product_N-SPT-S60G940,เล่ม
product_N-SPT-S60G980,เล่ม
product_N-SPT-H60G940,เล่ม
product_N-SPT-H60G980,เล่ม
product_N-SPT-G60G940,เล่ม
product_N-SPT-G60G980,เล่ม
product_N-SPT-5L60G940,เล่ม
product_N-SPT-5L60G980,เล่ม
product_N-MIS-VE924,กุรุส
product_N-MIS-UNI980,กุรุส
product_N-MIS-NO940,กุรุส
product_N-MIS-DW930,กุรุส
product_N-MIS-DW1830,กุรุส
product_N-MIS-MV810100,กุรุส
product_N-MIS-NO333,กุรุส
product_N-MIS-GB01,โหล
product_N-MIS-CTM1120,กุรุส
product_N-MIS-CTB1120,กุรุส
product_N-MIS-CTM01,โหล
product_N-MIS-CTB02,โหล
product_N-MIS-PEON1850,โหล
product_N-MIS-PEON18100,โหล
product_N-MIS-TANO1,เล่ม
product_N-MIS-TANO2,เล่ม
product_N-MIS-TAA440,เล่ม
product_N-MIS-GLA440,เล่ม
product_MSA,โหล
product_MSB-NO900,โหล
product_MSB-NO901,โหล
product_MSB-NO902,โหล
product_MSB-NO903,โหล
product_MSB-NO904,โหล
product_MSB-NO905,โหล
product_MSB-NO906,โหล
product_MSB-NO907,โหล
product_MSB-NO908,โหล
product_MSB-NO909,โหล
product_MSB-NO910,โหล
product_MSB-001,โหล
product_MSB-002,โหล
product_MSB-003,โหล
product_MSB-004,โหล
product_MSB-005,โหล
product_MSC-BL,ด้าม
product_MSC-RD,ด้าม
product_MSD,ด้าม
product_MSE,แท่ง
product_MSF,อัน
product_MSG,อัน
product_MSH,อัน
product_MSI-001,โหล
product_MSI-002,โหล
product_MSI-003,โหล
product_MSI-004,โหล
product_MSI-005,โหล
product_MSI-006,โหล
product_MSI-007,โหล
product_MSI-008,โหล
product_MSI-009,โหล
product_MSI-010,โหล
product_MSI-011,โหล
product_MSI-012,โหล
product_MSJ-NO2,เล่ม
product_MSJ-NO3,เล่ม
product_MSK-001,เล่ม
product_MSK-002,เล่ม
product_MSK-003,เล่ม
product_MSK-004,เล่ม
product_MSK-005,เล่ม
product_MSK-006,เล่ม
product_MSK-007,เล่ม
product_MSL-001,เล่ม
product_MSL-002,เล่ม
product_MSL-003,เล่ม
product_MSL-004,เล่ม
product_MSL-005,เล่ม
product_MSL-006,เล่ม
product_MSL-007,เล่ม
product_MSL-008,เล่ม
product_1184820,หีบ/6/12
product_1184977,หีบ/12/24
product_1184978,หีบ/12/24
product_1184979,หีบ/3/12
product_1184980,หีบ/10/24
product_1185085,หีบ/100/24
product_1185096,หีบ/100/24
product_1207523,หีบ/3/12
product_1918591,หีบ/24
product_2800528,หีบ/48
product_2800529,หีบ/24
product_1911581,หีบ/24
product_1911582,หีบ/24
product_1802555,หีบ/6
