id,name,uom_so_price_unit
product_P-PCWF-040,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 500แผ่น เบอร์19สีส้ม,180.00
product_P-PCWF-041,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 500แผ่น เบอร์20สีเขียว,180.00
product_P-PCWF-042,กระดาษถ่ายเอกสารสีสะท้อนแสง A4 80แกรม 500แผ่น เบอร์21สีเหลือง,180.00
product_P-PCWF-SR-001,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์1 สำโรง,139.00
product_P-PCWF-SR-002,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์2 สำโรง,139.00
product_P-PCWF-SR-003,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์3 สำโรง,139.00
product_P-PCWF-SR-004,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์4 สำโรง,139.00
product_P-PCWF-SR-005,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์5 สำโรง,139.00
product_P-PCWF-SR-006,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์6 สำโรง,139.00
product_P-PCWF-SR-007,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์7 สำโรง,139.00
product_P-PCWF-SR-008,กระดาษถ่ายเอกสารสี A4 80แกรม 500แผ่น เบอร์8 สำโรง,139.00
product_P-RC-35*47,กระดาษน้ำตาล 35*47นิ้ว 110แกรม เกรดA,1425.00
product_P-LG-001,กระดาษบัญชีเนื้อเขียว 2รู 2ช่อง,510.00
product_P-LG-002,กระดาษบัญชีเนื้อเขียว 2รู 3ช่อง,510.00
product_P-LG-003,กระดาษบัญชีเนื้อเขียว 26รู 2ช่อง,365.00
product_P-LG-004,กระดาษบัญชีเนื้อเขียว 26รู 3ช่อง,365.00
product_P-LG-005,กระดาษบัญชีเนื้อเขียว 30รู 2ช่อง,510.00
product_P-LG-006,กระดาษบัญชีเนื้อเขียว 30รู 3ช่อง,510.00
product_P-LG-007,กระดาษบัญชีเนื้อเขียว 30รู 4ช่อง,510.00
product_P-LG-008,กระดาษบัญชีเนื้อเขียว 2รู แยกประเภท,510.00
product_P-LG-009,กระดาษบัญชีเนื้อเขียว 26รู แยกประเภท,365.00
product_P-LG-010,กระดาษบัญชีเนื้อเขียว 30รู แยกประเภท,510.00
product_P-LG-011,กระดาษบัญชีเนื้อเขียว 26รู ธรรมดา,365.00
product_P-LG-012,กระดาษบัญชีเนื้อเขียว 30รู ธรรมดา,510.00
product_P-LG-013,กระดาษบัญชีเนื้อเขียว 26รู สต็อก,365.00
product_P-LG-014,กระดาษบัญชีเนื้อเขียว 30รู สต็อก,510.00
product_P-TCWF-001,กระดาษแบ๊งค์สี A4 55แกรม 300แผ่น สีฟ้า,62.50
product_P-TCWF-002,กระดาษแบ๊งค์สี A4 55แกรม 300แผ่น สีชมพู,62.50
product_P-TCWF-003,กระดาษแบ๊งค์สี A4 55แกรม 300แผ่น สีเขียว,62.50
product_P-TCWF-004,กระดาษแบ๊งค์สี A4 55แกรม 300แผ่น สีเหลือง,62.50
product_P-TCWF-005,กระดาษแบ๊งค์สี A4 55แกรม 400แผ่น สีฟ้า,82.00
product_P-TCWF-006,กระดาษแบ๊งค์สี A4 55แกรม 400แผ่น สีชมพู,82.00
product_P-TCWF-007,กระดาษแบ๊งค์สี A4 55แกรม 400แผ่น สีเขียว,82.00
product_P-TCWF-008,กระดาษแบ๊งค์สี A4 55แกรม 400แผ่น สีเหลือง,82.00
product_P-TCWF-009,กระดาษแบ๊งค์สี A4 55แกรม 500แผ่น สีฟ้า,101.00
product_P-TCWF-010,กระดาษแบ๊งค์สี A4 55แกรม 500แผ่น สีชมพู,101.00
product_P-TCWF-011,กระดาษแบ๊งค์สี A4 55แกรม 500แผ่น สีเขียว,101.00
product_P-TCWF-012,กระดาษแบ๊งค์สี A4 55แกรม 500แผ่น สีเหลือง,101.00
product_P-TCWF-013,กระดาษแบ๊งค์สี F4 55แกรม 300แผ่น สีฟ้า,81.00
product_P-TCWF-014,กระดาษแบ๊งค์สี F4 55แกรม 300แผ่น สีชมพู,81.00
product_P-TCWF-015,กระดาษแบ๊งค์สี F4 55แกรม 300แผ่น สีเขียว,81.00
product_P-TCWF-016,กระดาษแบ๊งค์สี F4 55แกรม 300แผ่น สีเหลือง,81.00
product_P-TCWF-017,กระดาษแบ๊งค์สี F4 55แกรม 400แผ่น สีฟ้า,106.00
product_P-TCWF-018,กระดาษแบ๊งค์สี F4 55แกรม 400แผ่น สีชมพู,106.00
product_P-TCWF-019,กระดาษแบ๊งค์สี F4 55แกรม 400แผ่น สีเขียว,106.00
product_P-TCWF-020,กระดาษแบ๊งค์สี F4 55แกรม 400แผ่น สีเหลือง,106.00
product_P-TCWF-021,กระดาษแบ๊งค์สี F4 55แกรม 500แผ่น สีฟ้า,129.00
product_P-TCWF-022,กระดาษแบ๊งค์สี F4 55แกรม 500แผ่น สีชมพู,129.00
product_P-TCWF-023,กระดาษแบ๊งค์สี F4 55แกรม 500แผ่น สีเขียว,129.00
product_P-TCWF-024,กระดาษแบ๊งค์สี F4 55แกรม 500แผ่น สีเหลือง,129.00
product_P-TCWF-025,กระดาษแบ๊งค์สี 31*43นิ้ว 55แกรม 500แผ่น สีฟ้า,1430.00
product_P-TCWF-026,กระดาษแบ๊งค์สี 31*43นิ้ว 55แกรม 500แผ่น สีชมพู,1430.00
product_P-TCWF-027,กระดาษแบ๊งค์สี 31*43นิ้ว 55แกรม 500แผ่น สีเขียว,1430.00
product_P-TCWF-028,กระดาษแบ๊งค์สี 31*43นิ้ว 55แกรม 500แผ่น สีเหลือง,1430.00
product_P-NP-31*43,กระดาษปรู๊ฟขาว 31*43นิ้ว 47แกรม,710.00
product_P-WF-60G,กระดาษปอนด์ขาว 60แกรม 500แผ่น,1150.00
product_P-WF-70G,กระดาษปอนด์ขาว 70แกรม 500แผ่น,1280.00
product_P-WF-80G,กระดาษปอนด์ขาว 80แกรม 500แผ่น,1480.00
product_P-WF-100G,กระดาษปอนด์ขาว 100แกรม 500แผ่น,1875.00
product_P-PT-001,กระดาษโปสเตอร์อ่อน 1หน้า เบอร์1สีแดงเข้ม,2.60
product_P-PT-002,กระดาษโปสเตอร์อ่อน 1หน้า เบอร์2สีแดงอ่อน,2.60
product_P-PT-003,กระดาษโปสเตอร์อ่อน 1หน้า เบอร์3สีส้ม,2.60
product_P-PT-004,กระดาษโปสเตอร์อ่อน 1หน้า เบอร์4สีเหลืองเข้ม,2.60
product_P-PT-005,กระดาษโปสเตอร์อ่อน 1หน้า เบอร์5สีเหลืองอ่อน,2.60
product_P-PT-006,กระดาษโปสเตอร์อ่อน 1หน้า เบอร์6สีครีม,2.60
product_P-PT-007,กระดาษโปสเตอร์อ่อน 1หน้า เบอร์7สีเขียวเข้ม,2.60
product_P-PT-008,กระดาษโปสเตอร์อ่อน 1หน้า เบอร์8สีเขียวกลาง,2.60
product_P-PT-009,กระดาษโปสเตอร์อ่อน 1หน้า เบอร์9สีเขียวอ่อน,2.60
