id,warehouse_id,location_id,product_main_code,product_id/id,product_min_qty,product_uom,product_max_qty
count_feb2015_floor1_265,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-015,product_P-PCWF-015,6,ห่อ,0
count_feb2015_floor1_266,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-016,product_P-PCWF-016,9,ห่อ,0
count_feb2015_floor1_267,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-003,product_P-PCWF-003,20,ห่อ,0
count_feb2015_floor1_268,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-004,product_P-PCWF-004,12,ห่อ,0
count_feb2015_floor1_269,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-005,product_P-PCWF-005,10,ห่อ,0
count_feb2015_floor1_270,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-006,product_P-PCWF-006,9,ห่อ,0
count_feb2015_floor1_271,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-007,product_P-PCWF-007,9,ห่อ,0
count_feb2015_floor1_272,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-008,product_P-PCWF-008,3,ห่อ,0
count_feb2015_floor1_273,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PC-A4-80G-500S-IDE,product_P-PC-A4-80G-500S-IDEAWORK,350,ห่อ,0
count_feb2015_floor1_274,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PC-A4-80G-500S-PPC,product_P-PC-A4-80G-500S-PPC,0,ห่อ,0
count_feb2015_floor1_275,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-DP-B-006,product_P-DP-B-006,200,ห่อ,0
count_feb2015_floor1_276,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PC-A4-80G-500S,product_P-PC-A4-80G-500S,800,ห่อ,0
count_feb2015_floor1_277,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-DP-A-006,product_P-DP-A-006,380,ห่อ,0
count_feb2015_floor1_278,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-DP-A-003,product_P-DP-A-003,130,ห่อ,0
count_feb2015_floor1_279,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-001,product_P-PCWF-001,15,ห่อ,0
count_feb2015_floor1_280,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-010,product_P-PCWF-010,10,ห่อ,0
count_feb2015_floor1_281,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PCWF-011,product_P-PCWF-011,12,ห่อ,0
count_feb2015_floor1_282,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-HM,product_P-PT-HM,65,แผ่น,0
count_feb2015_floor1_283,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-041,product_P-PT-041,400,แผ่น,0
count_feb2015_floor1_284,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-050,product_P-PT-050,150,แผ่น,0
count_feb2015_floor1_285,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-051,product_P-PT-051,350,แผ่น,0
count_feb2015_floor1_286,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-001,product_P-PT-001,525,แผ่น,0
count_feb2015_floor1_287,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-010,product_P-PT-010,225,แผ่น,0
count_feb2015_floor1_288,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-011,product_P-PT-011,350,แผ่น,0
count_feb2015_floor1_289,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-012,product_P-PT-012,250,แผ่น,0
count_feb2015_floor1_290,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-013,product_P-PT-013,350,แผ่น,0
count_feb2015_floor1_291,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-004,product_P-PT-004,175,แผ่น,0
count_feb2015_floor1_292,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-014,product_P-PT-014,425,แผ่น,0
count_feb2015_floor1_293,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-015,product_P-PT-015,175,แผ่น,0
count_feb2015_floor1_294,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-016,product_P-PT-016,300,แผ่น,0
count_feb2015_floor1_295,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-017,product_P-PT-017,175,แผ่น,0
count_feb2015_floor1_296,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-018,product_P-PT-018,350,แผ่น,0
count_feb2015_floor1_297,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-019,product_P-PT-019,300,แผ่น,0
count_feb2015_floor1_298,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-052,product_P-PT-052,300,แผ่น,0
count_feb2015_floor1_299,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-020,product_P-PT-020,50,แผ่น,0
count_feb2015_floor1_300,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-053,product_P-PT-053,270,แผ่น,0
count_feb2015_floor1_301,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-003,product_P-PT-003,400,แผ่น,0
count_feb2015_floor1_302,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-054,product_P-PT-054,300,แผ่น,0
count_feb2015_floor1_303,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-055,product_P-PT-055,125,แผ่น,0
count_feb2015_floor1_304,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-005,product_P-PT-005,600,แผ่น,0
count_feb2015_floor1_305,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-056,product_P-PT-056,275,แผ่น,0
count_feb2015_floor1_306,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-006,product_P-PT-006,125,แผ่น,0
count_feb2015_floor1_307,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-057,product_P-PT-057,250,แผ่น,0
count_feb2015_floor1_308,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-007,product_P-PT-007,550,แผ่น,0
count_feb2015_floor1_309,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-058,product_P-PT-058,300,แผ่น,0
count_feb2015_floor1_310,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-008,product_P-PT-008,175,แผ่น,0
count_feb2015_floor1_311,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-059,product_P-PT-059,475,แผ่น,0
count_feb2015_floor1_312,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-009,product_P-PT-009,575,แผ่น,0
count_feb2015_floor1_313,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-2SM,product_P-PT-2SM,2800,แผ่น,0
count_feb2015_floor1_314,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-060,product_P-PT-060,125,แผ่น,0
count_feb2015_floor1_315,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-021,product_P-PT-021,1575,แผ่น,0
count_feb2015_floor1_316,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-030,product_P-PT-030,525,แผ่น,0
count_feb2015_floor1_317,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-031,product_P-PT-031,1025,แผ่น,0
count_feb2015_floor1_318,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-032,product_P-PT-032,1025,แผ่น,0
count_feb2015_floor1_319,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-033,product_P-PT-033,650,แผ่น,0
count_feb2015_floor1_320,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-034,product_P-PT-034,875,แผ่น,0
count_feb2015_floor1_321,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-035,product_P-PT-035,400,แผ่น,0
count_feb2015_floor1_322,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-036,product_P-PT-036,825,แผ่น,0
count_feb2015_floor1_323,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-037,product_P-PT-037,950,แผ่น,0
count_feb2015_floor1_324,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-038,product_P-PT-038,700,แผ่น,0
count_feb2015_floor1_325,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-039,product_P-PT-039,975,แผ่น,0
count_feb2015_floor1_326,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-022,product_P-PT-022,175,แผ่น,0
count_feb2015_floor1_327,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-040,product_P-PT-040,200,แผ่น,0
count_feb2015_floor1_328,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-023,product_P-PT-023,1200,แผ่น,0
count_feb2015_floor1_329,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-024,product_P-PT-024,525,แผ่น,0
count_feb2015_floor1_330,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-025,product_P-PT-025,1200,แผ่น,0
count_feb2015_floor1_331,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,P-PT-026,product_P-PT-026,250,แผ่น,0
