id,warehouse_id,location_id,product_main_code,product_id/id,product_uom,product_min_qty,product_max_qty
count_nov14_floor1_73,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,708067,product_708067,เล่ม,10000,0
count_nov14_floor1_74,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,846309,product_846309,เล่ม,15000,0
count_nov14_floor1_75,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-NV-M-A5407,product_N-NV-M-A5407,เล่ม,1000,0
count_nov14_floor1_76,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800535,product_2800535,เล่ม,1000,0
count_nov14_floor1_77,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-NV-M-8607,product_N-NV-M-8607,เล่ม,600,0
count_nov14_floor1_78,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800537,product_2800537,เล่ม,1000,0
count_nov14_floor1_79,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1451548,product_1451548,เล่ม,1000,0
count_nov14_floor1_80,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800534,product_2800534,เล่ม,400,0
count_nov14_floor1_81,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-DWF8407,product_N-DWF8407,เล่ม,1000,0
count_nov14_floor1_82,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-TD-9100,product_N-TD-9100,เล่ม,5000,0
count_nov14_floor1_83,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-TD-930,product_N-TD-930,เล่ม,25000,0
count_nov14_floor1_84,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1184977,product_1184977,เล่ม,58000,0
count_nov14_floor1_85,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-TD-936,product_N-TD-936,เล่ม,6000,0
count_nov14_floor1_86,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-TD-940,product_N-TD-940,เล่ม,8000,0
count_nov14_floor1_87,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,958958,product_958958,เล่ม,30000,0
