id,Category_NOUSE,Name__NOUSE,rate_step_ids/amount_over,rate_step_ids/percent_commission
product_P-CWF-073,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีครีม ,2570,0.5
product_P-CWF-068,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีชมพู ,2570,0.5
product_P-CWF-072,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีม่วง ,2570,0.5
product_P-CWF-069,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีเขียว,2570,0.5
product_P-CWF-070,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 120แกรม 500แผ่น สีเหลือง ,2570,0.5
product_P-CWF-074,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีฟ้า ,3630,0.5
product_P-CWF-075,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีชมพู ,3630,0.5
product_P-CWF-076,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีเขียว ,3630,0.5
product_P-CWF-077,กระดาษการ์ดสี,กระดาษการ์ดสี 31*43นิ้ว 150แกรม 500แผ่น สีเหลือง ,3630,0.5
product_63_P-C01,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 180แผ่น คละสี ,69,0.5
product_P-CWF-008,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีฟ้า ,69,0.5
product_P-CWF-013,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีส้ม ,69,0.5
product_P-CWF-014,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีครีม ,69,0.5
product_P-CWF-009,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีชมพู ,69,0.5
product_P-CWF-012,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีม่วง ,69,0.5
product_P-CWF-010,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีเขียว ,69,0.5
product_P-CWF-011,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีเหลือง ,69,0.5
__export__.product_product_7494,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 200แผ่น คละสี,100,0
product_P-CWF-015,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีฟ้า ,77,0.5
product_P-CWF-020,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีส้ม ,77,0.5
product_P-CWF-021,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีครีม ,77,0.5
product_P-CWF-016,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีชมพู ,77,0.5
product_P-CWF-019,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีม่วง ,77,0.5
product_P-CWF-017,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเขียว ,77,0.5
product_P-CWF-018,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเหลือง ,77,0.5
__export__.product_product_6923,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีฟ้า,87,0
__export__.product_product_6927,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีส้ม,87,0
__export__.product_product_6928,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีครีม,87,0
__export__.product_product_6926,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีชมพู,87,0
__export__.product_product_6929,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีม่วง,87,0
__export__.product_product_6925,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีเขียว,87,0
__export__.product_product_6924,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 250แผ่น สีเหลือง,87,0
__export__.product_product_6685,กระดาษการ์ดสี,เทสโก้ การ์ดสี A4 120แกรม 30 แผ่น,16.95,0
product_P-CWF-001,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีฟ้า ,24,1
product_P-CWF-006,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีส้ม ,24,1
product_P-CWF-007,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีครีม ,24,1
product_P-CWF-002,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีชมพู ,24,1
product_P-CWF-005,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีม่วง ,24,1
product_P-CWF-003,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีเขียว ,24,1
product_P-CWF-004,กระดาษการ์ดสี,กระดาษการ์ดสี A4 120แกรม 50แผ่น สีเหลือง ,24,1
product_P-CWF-041,กระดาษการ์ดสี,กระดาษการ์ดสี A4 125แกรม 100แผ่น สีขาว ,54,0.5
product_P-CWF-022,กระดาษการ์ดสี,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีฟ้า ,96,0.5
product_P-CWF-023,กระดาษการ์ดสี,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีชมพู ,96,0.5
product_P-CWF-024,กระดาษการ์ดสี,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเขียว ,96,0.5
product_P-CWF-025,กระดาษการ์ดสี,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเหลือง ,96,0.5
product_P-CWF-026,กระดาษการ์ดสี,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีฟ้า ,105,0.5
product_P-CWF-027,กระดาษการ์ดสี,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีชมพู ,105,0.5
product_P-CWF-028,กระดาษการ์ดสี,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเขียว ,105,0.5
product_P-CWF-029,กระดาษการ์ดสี,กระดาษการ์ดสี A4 150แกรม 200แผ่น สีเหลือง ,105,0.5
product_P-CWF-040,กระดาษการ์ดสี,กระดาษการ์ดสี A4 160แกรม 100แผ่น สีขาว ,59,0.5
product_P-CWF-039,กระดาษการ์ดสี,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีขาว ,94,1
