id,warehouse_id,location_id,product_main_code,product_id/id,product_uom,product_min_qty,product_max_qty
count_feb2016_floor2_1,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,8857121670719,product_N-F8306-1,เล่ม,2500,0
count_feb2016_floor2_2,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-TS-470L,product_N-TS-470L,เล่ม,7000,0
count_feb2016_floor2_3,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,649519,product_649519,เล่ม,45000,0
count_feb2016_floor2_4,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-TS-NO5NL,product_N-TS-NO5NL,เล่ม,5000,0
count_feb2016_floor2_5,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-TS-A70L,product_N-TS-A70L,เล่ม,500,0
count_feb2016_floor2_6,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-TS-A70NL,product_N-TS-A70NL,เล่ม,1000,0
count_feb2016_floor2_7,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-TS-AA100L,product_N-TS-AA100L,เล่ม,2000,0
count_feb2016_floor2_8,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,103138,product_103138,เล่ม,0,0
count_feb2016_floor2_9,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-PV-13,product_N-PV-13,เล่ม,0,0
count_feb2016_floor2_10,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-PV-A4206,product_N-PV-A4206,เล่ม,7000,0
count_feb2016_floor2_11,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-PV-A4406B,product_N-PV-A4406B,เล่ม,500,0
count_feb2016_floor2_12,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-PV-A4406,product_N-PV-A4406,เล่ม,6000,0
count_feb2016_floor2_13,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-PV-A4506,product_N-PV-A4506,เล่ม,3000,0
count_feb2016_floor2_14,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,311806,__export__.product_product_6932,เล่ม,1000,0
count_feb2016_floor2_15,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,103107,product_103107,เล่ม,0,0
count_feb2016_floor2_16,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,312648,product_63_182505,เล่ม,1500,0
count_feb2016_floor2_17,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,984984,product_984984,เล่ม,5500,0
count_feb2016_floor2_18,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-PVC-136,product_N-PVC-136,เล่ม,1000,0
count_feb2016_floor2_19,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-PVC-188,product_N-PVC-188,เล่ม,200,0
count_feb2016_floor2_20,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-PVC-199,product_N-PVC-199,เล่ม,200,0
count_feb2016_floor2_21,สำเร็จรูป สาทร ชั้น 2,สาทร ชั้น 2,N-PVC-747,product_N-PVC-747,เล่ม,500,0
