id,warehouse_id,location_id,product_main_code,product_id/id,product_min_qty,product_uom,product_max_qty
count_feb2016_floor1_39,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,106700,product_106700,18000,เล่ม,0
count_feb2016_floor1_40,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-BL-280,product_N-BL-280,1500,เล่ม,0
count_feb2016_floor1_41,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,4196508,__export__.product_product_7681,2500,เล่ม,0
count_feb2016_floor1_42,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2321224,product_2321224,700,เล่ม,0
count_feb2016_floor1_43,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800541,product_2800541,600,เล่ม,0
count_feb2016_floor1_44,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2249447,product_2249447,800,เล่ม,0
count_feb2016_floor1_45,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1908008,product_1908008,1000,เล่ม,0
count_feb2016_floor1_46,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1726869,product_1726869,400,เล่ม,0
count_feb2016_floor1_47,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,2800540,product_2800540,200,เล่ม,0
count_feb2016_floor1_48,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,1908007,product_1908007,1000,เล่ม,0
count_feb2016_floor1_49,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,159000,product_159000,20000,เล่ม,0
count_feb2016_floor1_50,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-EF5,product_N-EF5,30000,เล่ม,0
count_feb2016_floor1_51,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-EF10,product_N-EF10,75933,เล่ม,0
count_feb2016_floor1_52,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,159001,product_159001,10000,เล่ม,0
count_feb2016_floor1_53,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,159004,product_159004,10000,เล่ม,0
count_feb2016_floor1_54,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-EF20,product_N-EF20,10000,เล่ม,0
count_feb2016_floor1_55,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F8306,product_N-F8306,1500,เล่ม,0
count_feb2016_floor1_56,สำเร็จรูป สาทร ชั้น 1,สาทร ชั้น 1,N-F9100,product_N-F9100,3500,เล่ม,0
