id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,ปป,inventory_line_id/product_qty,inventory_line_id/product_uom
,,สาทร ชั้น 1,product_P-CWF-035,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีฟ้า ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-036,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีชมพู ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-037,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเขียว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-038,กระดาษการ์ดสี A4 180แกรม 100แผ่น สีเหลือง ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-034,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีขาว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-030,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีฟ้า ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-031,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีชมพู ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-032,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเขียว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-033,กระดาษการ์ดสี A4 210แกรม 100แผ่น สีเหลือง ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-042,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีฟ้า ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-043,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีชมพู ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-044,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเขียว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-045,กระดาษการ์ดสี F4 120แกรม 180แผ่น สีเหลือง ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-046,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีฟ้า ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-047,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีชมพู ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-048,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเขียว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-049,กระดาษการ์ดสี F4 120แกรม 200แผ่น สีเหลือง ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-050,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีฟ้า ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-051,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีชมพู ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-052,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเขียว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-053,กระดาษการ์ดสี F4 150แกรม 180แผ่น สีเหลือง,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-054,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีฟ้า ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-055,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีชมพู ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-056,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเขียว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-057,กระดาษการ์ดสี F4 150แกรม 200แผ่น สีเหลือง ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-062,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีขาว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-058,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีฟ้า ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-059,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีชมพู ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-060,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีเขียว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-061,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีเหลือง ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-063,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีฟ้า ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-064,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีชมพู ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-065,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีเขียว ,,ห่อ
,,สาทร ชั้น 1,product_P-CWF-066,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีเหลือง ,,ห่อ
,,สาทร ชั้น 1,product_235301,Q-BIZ กระดาษการ์ดสีครีม 110g A4 100 ผ. ,0,ห่อ
,,สาทร ชั้น 1,product_235302,Q-BIZ กระดาษการ์ดสีม่วง 110g A4 100 ผ. ,340,ห่อ
,,สาทร ชั้น 1,product_95056,Q-BIZ กระดาษการ์ดสี 110g A4 200 ผ. (คละสี),260,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO10-A,กระดาษแข็ง เบอร์10 90แผ่น เกรดA,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO10-B,กระดาษแข็ง เบอร์10 90แผ่น เกรดB,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO12-A,กระดาษแข็ง เบอร์12 75แผ่น เกรดA,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO12-B,กระดาษแข็ง เบอร์12 75แผ่น เกรดB,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO16-A,กระดาษแข็ง เบอร์16 55แผ่น เกรดA ,,ห่อ
,,สาทร ชั้น 1,product_P-HB-NO16-B,กระดาษแข็ง เบอร์16 55แผ่น เกรดB,,ห่อ
