id,name,partner_id,brand_id,description_sale,description_purchase,product_main_code,active,product_sub_code,partner_barcode,sale_ok,purchase_ok,type,procure_method,supply_method,list_price,cost_method,standard_price,cover_unit_price,categ_id,uom_id,uom_po_id,uom_so_id,paper_size_id,paper_grams_id,paper_nums_id,paper_binding_id,product_pack_id,description,valuation,uos_id,uos_coeff,qty_available
product_P-CWF-014,กระดาษการ์ดสี A4 120แกรม 180แผ่น สีครีม ,,,,,P-CWF-014,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,69,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,120,180,,1*1,,Real Time (automated),,,
product_P-CWF-015,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีฟ้า ,,,,,P-CWF-015,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,77,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-016,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีชมพู ,,,,,P-CWF-016,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,77,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-017,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเขียว ,,,,,P-CWF-017,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,77,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-018,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีเหลือง ,,,,,P-CWF-018,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,77,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-019,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีม่วง ,,,,,P-CWF-019,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,77,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-020,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีส้ม ,,,,,P-CWF-020,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,77,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-021,กระดาษการ์ดสี A4 120แกรม 200แผ่น สีครีม ,,,,,P-CWF-021,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,77,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,120,200,,1*1,,Real Time (automated),,,
product_P-CWF-022,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีฟ้า ,,,,,P-CWF-022,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,96,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,150,180,,1*1,,Real Time (automated),,,
product_P-CWF-023,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีชมพู ,,,,,P-CWF-023,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,96,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,150,180,,1*1,,Real Time (automated),,,
product_P-CWF-024,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเขียว ,,,,,P-CWF-024,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,96,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,150,180,,1*1,,Real Time (automated),,,
product_P-CWF-025,กระดาษการ์ดสี A4 150แกรม 180แผ่น สีเหลือง ,,,,,P-CWF-025,TRUE,,,TRUE,FALSE,Stockable Product,Make to Stock,Buy,96,Standard Price,0,0,กระดาษการ์ดสี,ห่อ,ห่อ,ห่อ,A4,150,180,,1*1,,Real Time (automated),,,
