id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_id_XX,inventory_line_id/product_qty,inventory_line_id/product_uom
,,มหาชัย,product_P-CWF-061,กระดาษการ์ดสี F4 180แกรม 100แผ่น สีเหลือง ,,ห่อ
,,มหาชัย,product_P-CWF-065,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีเขียว ,,ห่อ
,,มหาชัย,product_P-CWF-064,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีชมพู ,,ห่อ
,,มหาชัย,product_P-CWF-063,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีฟ้า ,,ห่อ
,,มหาชัย,product_P-CWF-066,กระดาษการ์ดสี F4 210แกรม 100แผ่น สีเหลือง ,,ห่อ
,,มหาชัย,__export__.product_product_6685,เทสโก้ การ์ดสี A4 120แกรม 30 แผ่น,197,ห่อ
,,มหาชัย,product_P-HB-NO10-A,กระดาษแข็ง เบอร์10 90แผ่น เกรดA,,รีม
,,มหาชัย,product_P-HB-NO10-B,กระดาษแข็ง เบอร์10 90แผ่น เกรดB,,รีม
,,มหาชัย,product_P-HB-NO12-A,กระดาษแข็ง เบอร์12 75แผ่น เกรดA,,รีม
,,มหาชัย,product_P-HB-NO12-B,กระดาษแข็ง เบอร์12 75แผ่น เกรดB,,รีม
,,มหาชัย,product_P-HB-NO16-A,กระดาษแข็ง เบอร์16 55แผ่น เกรดA ,,รีม
,,มหาชัย,product_P-HB-NO16-B,กระดาษแข็ง เบอร์16 55แผ่น เกรดB,,รีม
,,มหาชัย,product_P-HB-NO20-A,กระดาษแข็ง เบอร์20 45แผ่น เกรดA ,,รีม
,,มหาชัย,product_P-HB-NO20-B,กระดาษแข็ง เบอร์20 45แผ่น เกรดB,,รีม
,,มหาชัย,product_P-HB-NO24-A,กระดาษแข็ง เบอร์24 37แผ่น เกรดA,,รีม
,,มหาชัย,product_P-HB-NO24-B,กระดาษแข็ง เบอร์24 37แผ่น เกรดB,,รีม
,,มหาชัย,product_P-HB-NO32-A,กระดาษแข็ง เบอร์32 27แผ่น เกรดA,,รีม
,,มหาชัย,product_P-HB-NO32-B,กระดาษแข็ง เบอร์32 27แผ่น เกรดB,,รีม
,,มหาชัย,product_P-HB-NO8-A,กระดาษแข็ง เบอร์8 110แผ่น เกรดA,,รีม
,,มหาชัย,product_P-HB-NO8-B,กระดาษแข็ง เบอร์8 110แผ่น เกรดB,,รีม
,,มหาชัย,product_P-ANS-100,กระดาษคำตอบ 100ข้อ 50แกรม 200แผ่น,1630,ห่อ
,,มหาชัย,product_P-ANS-120,กระดาษคำตอบ 120ข้อ 50แกรม 200แผ่น,4050,ห่อ
