"id","name","inventory_line_id/location_id","inventory_line_id/product_id/id","inventory_line_id/product_qty","inventory_line_id/product_uom"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_90",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_89",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_97",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_99",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_98",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_100",25,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_93",68.5,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_92",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_101",30,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_162",5,"หน่วย"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_168",60,"หน่วย"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_166",31,"หน่วย"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_167",27,"หน่วย"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_161",11,"หน่วย"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_169",17,"หน่วย"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_163",9,"หน่วย"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_164",40,"หน่วย"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_165",114,"หน่วย"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_157",0,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_160",7,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_158",7,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_159",17,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_153",1,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_156",2,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_151",3,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_150",1,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_154",2,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_155",1,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_152",2,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_149",3,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_147",1,"ถัง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_148",1,"ถัง"
,,"วัตถุดิบ มหาชัย","rawmat_I-ดำเงา-TRS",105,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","rawmat_I-แดง-TOYO",46,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","rawmat_I-ฟ้าเงา-TRS",54,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_145",57,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_170",0,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_183",74,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_181",111,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_184",40,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_185",20,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_182",54,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_187",41,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_186",45,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_188",118,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_189",117,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_190",34,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_191",5,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_192",9,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_193",102,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_194",105,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_179",43,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_177",73,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_178",26,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_175",59,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_173",0,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_174",53,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_176",26,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_180",0,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_172",33,"กระป๋อง"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_140",7.6,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_141",64,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_142",0,"รีม"
,,"วัตถุดิบ มหาชัย","product_rawmat_mahachai_143",19,"รีม"
