id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_uom,inventory_line_id/product_qty
,,คลังสำเร็จรูปชั้น 2,product_176898,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176899,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176900,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176901,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_176902,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_178495,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_178496,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_179654,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_179656,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1801611,แผ่น,
,,คลังสำเร็จรูปชั้น 2,product_1802343,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1802555,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1802560,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1802561,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1812974,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_182499,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_182500,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_182501,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_182502,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_182503,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_182504,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_1868860,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1908007,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1908008,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1911581,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1911582,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1918591,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_192403,เล่ม,420
,,คลังสำเร็จรูปชั้น 2,product_192412,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_192472,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_192476,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_194527,เล่ม,1128
,,คลังสำเร็จรูปชั้น 2,product_194528,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_1993315,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2011923,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2012644,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2012645,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_209768,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2186434,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2186436,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2188812,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_219563,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_219564,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_219565,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_219567,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2241339,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2249447,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2249452,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2249647,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2249710,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2321224,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_235301,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_235302,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_235307,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_235308,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_2525970,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2525972,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2525974,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_2526054,เล่ม,
,,คลังสำเร็จรูปชั้น 2,product_26000,เล่ม,
