id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_uom,inventory_line_id/product_qty
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-023,ห่อ,65
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-022,ห่อ,184
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-025,ห่อ,320
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-028,ห่อ,251
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-027,ห่อ,85
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-026,ห่อ,487
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-029,ห่อ,82
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-040,ห่อ,82
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-039,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-037,ห่อ,240
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-036,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-035,ห่อ,122
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-038,ห่อ,238
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-034,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-032,ห่อ,187
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-031,ห่อ,35
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-030,ห่อ,276
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-033,ห่อ,309
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-044,ห่อ,
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-043,ห่อ,301
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-042,ห่อ,162
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-045,ห่อ,172
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-048,ห่อ,222
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-047,ห่อ,135
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-046,ห่อ,119
,,คลังสำเร็จรูปชั้น 2,product_P-CWF-049,ห่อ,278
