id,name,inventory_line_id/location_id,inventory_line_id/product_id/id,inventory_line_id/product_qty,inventory_line_id/product_uom
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_125,80,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_125,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-31*43-ฟ้า-SCG,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-31*43-ม่วง-SCG,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-110-31*43-ส้ม-SCG,,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_124,24,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_124,,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_118,8,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_119,6,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_121,6,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_120,6,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-120-25_5*35_5-ขาว-INDO,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-120-31*43-ขาว-SCG,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-120-31*43-ชมพู-SCG,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-150-25*35_5-ขาว-SCG,,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_109,48,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_110,48,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_112,48,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_111,48,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_126,0,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_127,4.5,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-150-31*43-ชมพู-SCG,,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_129,4,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-150-31*43-ฟ้า-SCG,,รีม
,,วัตถุดิบ มหาชัย,product_rawmat_mahachai_128,0,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-150-31*43-เหลือง-SCG,,รีม
,,วัตถุดิบ มหาชัย,rawmat_CWF-180-25*35_5-ขาว-SCG,,รีม
